id,store_id,first_name,last_name,role,hired_at
1,1,Victor,Clark,manager,2017-03-19
2,1,Alice,Lopez,barista,2017-03-18
3,1,Zane,Gonzalez,barista,2017-10-16
4,1,Samuel,Taylor,cashier,2017-06-05
5,1,Quinn,Jackson,cook,2017-02-13
6,1,Nadia,Hernandez,cook,2017-05-08
7,2,Carlos,Miller,manager,2017-03-02
8,2,Uma,Harris,barista,2017-10-13
9,2,Bob,Wilson,barista,2018-01-27
10,2,Derek,Perez,cashier,2017-08-02
11,2,Marcus,White,cook,2017-11-07
12,2,Amelia,Williams,cook,2017-11-02
13,3,Brian,Garcia,manager,2017-11-13
14,3,Luna,Anderson,barista,2017-04-26
15,3,Ethan,Davis,barista,2017-09-25
16,3,Priya,Martin,cashier,2017-07-14
17,3,Tina,Robinson,cook,2017-08-19
18,3,Wendy,Smith,cook,2017-08-15
19,4,Fatima,Brown,manager,2017-06-02
20,4,Rosa,Thomas,barista,2017-10-29
21,4,Yara,Lee,barista,2017-08-08
22,4,Kevin,Ramirez,cashier,2017-06-06
23,4,George,Martinez,cook,2017-10-19
24,4,Xavier,Lewis,cook,2017-11-14
25,5,Diana,Sanchez,manager,2017-01-31
26,5,Hannah,Johnson,barista,2017-11-09
27,5,Clara,Rodriguez,barista,2018-01-14
28,5,Julia,Jones,cashier,2017-02-20
29,5,Ivan,Moore,cook,2018-01-26
30,5,Oscar,Thompson,cook,2017-04-17
